unit_id,effect,lat,lon,I_local,lag_z,z,p_perm,cluster,is_treated
MANHATTAN 03,-11.952380952380949,40.7239350741695,-73.98613066152801,0.011828054685921557,-0.015229062893907047,-0.7766764618625227,0.935871743486974,ns,True
MANHATTAN 04,-7.536796536796537,40.75904274618881,-73.99476901280894,-0.0005611044631501517,0.0012308628069269186,-0.4558627167808043,0.9959919839679359,ns,True
MANHATTAN 05,-6.225108225108224,40.74763937625523,-73.98525434217103,0.006923674304547281,-0.019202442777467958,-0.3605621630947643,0.9278557114228457,ns,True
MANHATTAN 06,2.3917748917748938,40.744079572782105,-73.97827478678352,-0.03596248475706499,-0.13545374403108973,0.26549642473382484,0.4288577154308617,ns,True
MANHATTAN 07,-23.062770562770567,40.79169289925293,-73.97156679562453,-0.4140279209344983,0.261397689902781,-1.5839004586784355,0.09418837675350701,ns,True
MANHATTAN 08,6.194805194805198,40.775248888040856,-73.95325933716485,-0.020710211324746354,-0.03822446547623794,0.5418051257674423,0.845691382765531,ns,True
MANHATTAN 09,-4.0043290043290085,40.82406786635311,-73.94917271953149,-0.041964860186072275,0.21065457411523641,-0.19921172071542975,0.1843687374749499,ns,True
MANHATTAN 10,-14.915584415584405,40.80788927383866,-73.94769526341082,-0.6245494213920313,0.6296066444159273,-0.9919676466747147,0.0,LH,True
MANHATTAN 11,88.76839826839826,40.80143454654757,-73.93443230896085,-1.6720405049360159,-0.2556175878179381,6.541179420435324,0.03807615230460922,HL,True
MANHATTAN 12,-7.8311688311688386,40.851791675866586,-73.93280721944058,-0.02572432420805603,0.053901116918265414,-0.4772502997862528,0.7735470941883767,ns,True
MANHATTAN 64,0.006493506493506496,40.77863290127972,-73.96254609596876,0.004471565016760533,0.048501640849848704,0.09219409773379826,0.8016032064128257,ns,False
QUEENS 01,7.402597402597408,40.767582291126615,-73.91777406556363,0.07723230133785836,0.12267719447979678,0.6295571207456773,0.38877755511022044,ns,True
QUEENS 02,-0.30303030303030454,40.74343583870552,-73.91692225104504,0.006139182026059385,0.0880729051034451,0.06970568325012866,0.45691382765531063,ns,True
QUEENS 03,5.010822510822514,40.7545772153354,-73.87867926744832,0.04445018302653142,0.09752487952761854,0.4557830088264129,0.4909819639278557,ns,True
QUEENS 04,-4.125541125541126,40.74181341739548,-73.87199724801943,-0.04086202932007042,0.1964347130539005,-0.20801837254120215,0.15831663326653306,ns,True
QUEENS 05,18.419913419913414,40.70623103849574,-73.90112616150243,-0.31284956870336417,-0.2187730357349723,1.4300188670525136,0.05410821643286573,ns,True
