unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
53071683,2022-01-15,Rodent,Condition Attracting Rodents,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.88013222318108,-73.87095865320755
53070396,2022-01-15,Rodent,Condition Attracting Rodents,BRONX,BRONX 11,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.861911732816544,-73.84542343645583
53070373,2022-01-15,Rodent,Rat Sighting,BRONX,BRONX 03,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.83447794504235,-73.89658192190203
53074006,2022-01-15,Rodent,Signs of Rodents,BRONX,BRONX 12,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.879644182897636,-73.85302686012083
53078764,2022-01-16,Rodent,Rat Sighting,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.864448007586184,-73.89423232251876
53077558,2022-01-16,Rodent,Mouse Sighting,BRONX,BRONX 10,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.82476571431192,-73.82135534746935
53077527,2022-01-16,Rodent,Rat Sighting,BRONX,BRONX 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.850728343150905,-73.90496066289806
53082421,2022-01-16,Rodent,Rat Sighting,BRONX,BRONX 03,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.8254077422778,-73.90755139635209
53082436,2022-01-17,Rodent,Mouse Sighting,BRONX,BRONX 06,An inspection of the property was conducted and it passed with minor violations found.,40.852351881443056,-73.88537743088648
53090068,2022-01-17,Rodent,Condition Attracting Rodents,BRONX,BRONX 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.854865013390025,-73.89897217278859
53088919,2022-01-17,Rodent,Rat Sighting,BRONX,BRONX 04,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.829140405453415,-73.91446958694368
53088684,2022-01-17,Rodent,Rat Sighting,BRONX,BRONX 01,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.80954008239561,-73.92180625019235
53089788,2022-01-17,Rodent,Rat Sighting,BRONX,BRONX 04,,40.8413051977675,-73.92676361859121
53092245,2022-01-17,Rodent,Mouse Sighting,BRONX,BRONX 04,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.84483859597617,-73.91608306922326
53085418,2022-01-17,Rodent,Signs of Rodents,BRONX,BRONX 04,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.83802783933046,-73.9264889533679
53093227,2022-01-17,Rodent,Rat Sighting,BRONX,BRONX 09,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.83325486349564,-73.86565796321872
53085401,2022-01-17,Rodent,Rat Sighting,BRONX,Unspecified BRONX,,,
53099063,2022-01-18,Rodent,Mouse Sighting,BRONX,BRONX 04,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.837754542123065,-73.92406431449938
53097862,2022-01-18,Rodent,Rat Sighting,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.88212149688681,-73.88325756286221
